Afghani,Afghanistan
Albanian,Albania
Algerian,Algeria
Andorran,Andorra
Angolan,Angola
Anguillan,Anguilla
Argentine,Argentina
Armenian,Armenia
Australian,Australia
Austrian,Austria
Azerbaijani,Azerbaijan
Bahamian,Bahamas
Bahraini,Bahrain
Bangladeshi,Bangladesh
Barbadian,Barbados
Belarusian,Belarus
Belgian,Belgium
Beninese,Benin
Bermudan,Bermuda
Bhutanese,Bhutan
Bolivian,Bolivia
Botswanan,Botswana
Brazilian,Brazil
Bruneian,Brunei
Bulgarian,Bulgaria
Burundi,Burundi
Cambodian,Cambodia
Cameroonian,Cameroon
Canadian,Canada
Chadian,Chad
Chilean,Chile
Chinese,China
Colombian,Colombia
Costa Rican,Costa Rica
Croatian,Croatia
Cuban,Cuba
Cyprian,Cyprus
Danish,Denmark
Djiboutian,Djibouti
Dominican,Dominican Republic
Ecuadorian,Ecuador
Egyptian,Egypt
Salvadoran,ElSalvador
Eritrean,Eritrea
Estonian,Estonia
Ethiopian,Ethiopia
Fijian,Fiji
Finnish,Finland
French,France
Gabonese,Gabon
Gambian,Gambia
Georgian,Georgia
German,Germany
Ghanaian,Ghana
Gibraltarian,Gibraltar
Greek,Greece
Grenadian,Grenada
Guatemalan,Guatemala
Guinean,Guinea
Guyanese,Guyana
Haitian,Haiti
Hispaniolan,Haiti
Honduran,Honduras
Hungarian,Hungary
Icelandic,Iceland
Anglo-Indian,India
Indonesian,Indonesia
Iranian,Iran
Iraqi,Iraq
Irish,Ireland
Israeli,Israel
Italian,Italy
Jamaican,Jamaica
Japanese,Japan
Jordanian,Jordan
Kazakhstani,Kazakhstan
Kenyan,Kenya
Kuwaiti,Kuwait
Kyrgyzstani,Kyrgyzstan
Laotian,Laos
Latvian,Latvia
Lebanese,Lebanon
Liberian,Liberia
Libyan,Libya
Liechtensteiner,Liechtenstein
Lithuanian,Lithuania
Luxembourgian,Luxembourg
Macedonian,Macedonia
Madagascan,Madagascar
Malawian,Malawi
Malaysian,Malaysia
Malian,Mali
Maltese,Malta
Mauritanian,Mauritius
Mexican,Mexico
Moldovan,Moldova
Monacan,Monaco
Mongol,Mongolia
Mongolian,Mongolia
Moroccan,Morocco
Mozambican,Mozambique
Burmese,Myanmar
Namibian,Namibia
Nauruan,Nauru
Nepalese,Nepal
Dutch,Netherlands
New Caledonian,New Caledonia
New Zealander,New Zealand
Nicaraguan,Nicaragua
Nigerian,Nigeria
North Korean,North Korea
Norwegian,Norway
Omani,Oman
Pakistani,Pakistan
Panamanian,Panama
Paraguayan,Paraguay
Peruvian,Peru
Filipino,Philippines
Polish,Poland
Portuguese,Portugal
Qatari,Qatar
Romanian,Romania
Russian,Russia
Rwandan,Rwanda
Samoan,Samoa
San Marinese,San Marino
Saudi-Arabian,Saudi Arabia
Senegalese,Senegal
Serbian,Serbia
Seychellois,Seychelles
Sierra Leonean,SierraLeone
Singaporean,Singapore
Slovakian,Slovakia
Slovenian,Slovenia
Somalian,Somalia
South African,South Africa
South Korean,South Korea
Spanish,Spain
Sudanese,Sudan
Swazi,Swaziland
Swedish,Sweden
Swiss,Switzerland
Syrian,Syria
Taiwanese,Taiwan
Tajikistani,Tajikistan
Tanzanian,Tanzania
Thai,Thailand
Togolese,Togo
Tongan,Tonga
Tunisian,Tunisia
Turkish,Turkey
Turkmen,Turkmenistan
Ugandan,Uganda
Ukrainian,Ukraine
Uruguayan,Uruguay
Uzbekistani,Uzbekistan
Venezuelan,Venezuela
Vietnamese,Vietnam
Yemeni,Yemen
Zambian,Zambia
Zimbabwean,Zimbabwe
