Афганистан,Afghanistan
Оландски острови,AlandIslands
Албания,Albania
Алжир,Algeria
Американска Самоа,AmericanSamoa
Андора,Andorra
Ангола,Angola
Ангуила,Anguilla
Антигуа и Барбуда,AntiguaBarbuda
Аржентина,Argentina
Армения,Armenia
Аруба,Aruba
Австралия,Australia
Австрия,Austria
Азербайджан,Azerbaijan
Бахами,Bahamas
Бахрейн,Bahrain
Бангладеш,Bangladesh
Барбадос,Barbados
Беларус,Belarus
Белгия,Belgium
Белиз,Belize
Бенин,Benin
Бермуда,Bermuda
Бутан,Bhutan
Боливия,Bolivia
Карибски Нидерландия,BonaireSintEustatiusAndSaba
Босна и Херцеговина,BosniaHerzegovina
Ботсвана,Botswana
Остров Бувет,BouvetIsland
Бразилия,Brazil
Британска територия на Индийския океан,BritishIndianOceanTerritory
Британски Вирджински острови,BritishVirginIslands
Бруней,Brunei
България,Bulgaria
Буркина Фасо,BurkinaFaso
Бурунди,Burundi
Камбоджа,Cambodia
Камерун,Cameroon
Канада,Canada
Кабо Верде,CapeVerde
Кайманови острови,CaymanIslands
Централноафриканска република,CentralAfricanRepublic
Чад,Chad
Чили,Chile
Китай,China
Остров Рождество,ChristmasIsland
Кокосови кийлинг острови,CocosKeelingIslands
Колумбия,Colombia
Коморски острови,Comoros
Острови Кук,CookIslands
Коста Рика,CostaRica
Хърватия,Croatia
Куба,Cuba
Кюрасао,Curacao
Кипър,Cyprus
Чешка република,CzechRepublic
Демократична република Конго,DemocraticRepublicCongo
Дания,Denmark
Джибути,Djibouti
Доминика,Dominica
Доминиканска република,DominicanRepublic
Източен Тимор,EastTimor
Еквадор,Ecuador
Египет,Egypt
Салвадор,ElSalvador
Екваториална Гвинея,EquatorialGuinea
Еритрея,Eritrea
Естония,Estonia
Етиопия,Ethiopia
Фолкландски острови,FalklandIslands
Фарьорски острови,FaroeIslands
Фиджи,Fiji
Финландия,Finland
Франция,France
Френска Гвиана,FrenchGuiana
Френска Полинезия,FrenchPolynesia
Френски южни и антарктически земи,FrenchSouthernAndAntarcticLands
Габон,Gabon
Гамбия,Gambia
Ивица газа,GazaStrip
Грузия,Georgia
Германия,Germany
Гана,Ghana
Гибралтар,Gibraltar
Гърция,Greece
Гренландия,Greenland
Гренада,Grenada
Гваделупа,Guadeloupe
Гуам,Guam
Гватемала,Guatemala
Гърнзи,Guernsey
Гвинея,Guinea
Гвинея-Бисау,GuineaBissau
Гвиана,Guyana
Хаити,Haiti
Хондурас,Honduras
Хонконг,HongKong
Унгария,Hungary
Исландия,Iceland
Индия,India
Индонезийски,Indonesia
Иран,Iran
Ирак,Iraq
Ирландия,Ireland
Манския о-в,IsleOfMan
Израел,Israel
Италия,Italy
Кот д'Ивоар,IvoryCoast
Ямайка,Jamaica
Япония,Japan
Джърси,Jersey
Йордания,Jordan
Казахстан,Kazakhstan
Кения,Kenya
Кирибати,Kiribati
Косово,Kosovo
Кувейт,Kuwait
Киргизстан,Kyrgyzstan
Лаос,Laos
Латвия,Latvia
Ливан,Lebanon
Лесото,Lesotho
Либерия,Liberia
Либия,Libya
Лихтенщайн,Liechtenstein
Литва,Lithuania
Люксембург,Luxembourg
Макао,Macau
Северна Македония,Macedonia
Мадагаскар,Madagascar
Малави,Malawi
Малайзия,Malaysia
Малдиви,Maldives
Мали,Mali
Малта,Malta
Маршалови острови,MarshallIslands
Мартиника,Martinique
Мавритания,Mauritania
Мавриций,Mauritius
Майот,Mayotte
Мексико,Mexico
Микронезия,Micronesia
Молдова,Moldova
Монако,Monaco
Монголия,Mongolia
Черна гора,Montenegro
Монсерат,Montserrat
Мароко,Morocco
Мозамбик,Mozambique
Мианмар,Myanmar
Намибия,Namibia
Науру,Nauru
Непал,Nepal
Холандия,Netherlands
Нова Каледония,NewCaledonia
Нова Зеландия,NewZealand
Никарагуа,Nicaragua
Нигер,Niger
Нигерия,Nigeria
Ниуе,Niue
Остров Норфолк,NorfolkIsland
Северни Мариански острови,NorthernMarianaIslands
Северна Корея,NorthKorea
Норвегия,Norway
Оман,Oman
Пакистан,Pakistan
Дворец,Palau
Панама,Panama
Папуа Нова Гвинея,PapuaNewGuinea
Парагвай,Paraguay
Перу,Peru
Филипини,Philippines
Острови Питкерн,PitcairnIslands
Полша,Poland
Португалия,Portugal
Пуерто Рико,PuertoRico
Катар,Qatar
Република Конго,RepublicCongo
Раюнион©,Reunion
Румъния,Romania
Русия,Russia
Руанда,Rwanda
Сен Бартелми,SaintBarthelemy
Света Елена Асенсион и Тристан да Кунха,SaintHelena
Сейнт Китс и Невис,SaintKittsNevis
Сейнт Лусия,SaintLucia
Сен Мартен,SaintMartin
Сен Пиер и Микелон,SaintPierreMiquelon
Сейнт Винсънт и Гренадини,SaintVincentGrenadines
Самоа,Samoa
Сан Марино,SanMarino
Са ТомА© и ПрАнсипи,SaoTomePrincipe
Саудитска Арабия,SaudiArabia
Сенегал,Senegal
Сърбия,Serbia
Сейшели,Seychelles
Сиера Леоне,SierraLeone
Сингапур,Singapore
Сен Мартен,SintMaarten
Словакия,Slovakia
Словения,Slovenia
Соломонови острови,SolomonIslands
Сомалия,Somalia
Южна Африка,SouthAfrica
