Afghanistan,Afghanistan
Aland Islands,AlandIslands
Albania,Albania
Algeria,Algeria
American Samoa,AmericanSamoa
Andorra,Andorra
Angola,Angola
Anguilla,Anguilla
Antigua and Barbuda,AntiguaBarbuda
Argentina,Argentina
Armenia,Armenia
Aruba,Aruba
Australia,Australia
Austria,Austria
Azerbaijan,Azerbaijan
Bahamas,Bahamas
Bahrain,Bahrain
Bangladesh,Bangladesh
Barbados,Barbados
Belarus,Belarus
Belgium,Belgium
Belize,Belize
Benin,Benin
Bermuda,Bermuda
Bhutan,Bhutan
Bolivia,Bolivia
Caribbean Netherlands,BonaireSintEustatiusAndSaba
Bosnia and Herzegovina,BosniaHerzegovina
Botswana,Botswana
Bouvet Island,BouvetIsland
Brazil,Brazil
British Indian Ocean Territory,BritishIndianOceanTerritory
British Virgin Islands,BritishVirginIslands
Brunei,Brunei
Bulgaria,Bulgaria
Burkina Faso,BurkinaFaso
Burundi,Burundi
Cambodia,Cambodia
Cameroon,Cameroon
Canada,Canada
Cape Verde,CapeVerde
Cayman Islands,CaymanIslands
Central African Republic,CentralAfricanRepublic
Chad,Chad
Chile,Chile
China,China
Christmas Island,ChristmasIsland
Cocos Keeling Islands,CocosKeelingIslands
Colombia,Colombia
Comoros,Comoros
Cook Islands,CookIslands
Costa Rica,CostaRica
Croatia,Croatia
Cuba,Cuba
Curacao,Curacao
Cyprus,Cyprus
Czech Republic,CzechRepublic
Democratic Republic of the Congo,DemocraticRepublicCongo
Denmark,Denmark
Djibouti,Djibouti
Dominica,Dominica
Dominican Republic,DominicanRepublic
East Timor,EastTimor
Ecuador,Ecuador
Egypt,Egypt
El Salvador,ElSalvador
Equatorial Guinea,EquatorialGuinea
Eritrea,Eritrea
Estonia,Estonia
Ethiopia,Ethiopia
Falkland Islands,FalklandIslands
Faroe Islands,FaroeIslands
Fiji,Fiji
Finland,Finland
France,France
French Guiana,FrenchGuiana
French Polynesia,FrenchPolynesia
French Southern And Antarctic lands,FrenchSouthernAndAntarcticLands
Gabon,Gabon
Gambia,Gambia
Gaza Strip,GazaStrip
Georgia,Georgia
Germany,Germany
Ghana,Ghana
Gibraltar,Gibraltar
Greece,Greece
Greenland,Greenland
Grenada,Grenada
Guadeloupe,Guadeloupe
Guam,Guam
Guatemala,Guatemala
Guernsey,Guernsey
Guinea,Guinea
Guinea-Bissau,GuineaBissau
Guyana,Guyana
Haiti,Haiti
Honduras,Honduras
Hong Kong,HongKong
Hungary,Hungary
Iceland,Iceland
India,India
Indonesia,Indonesia
Iran,Iran
Iraq,Iraq
Ireland,Ireland
Isle of Man,IsleOfMan
Israel,Israel
Italy,Italy
Ivory Coast,IvoryCoast
Jamaica,Jamaica
Japan,Japan
Jersey,Jersey
Jordan,Jordan
Kazakhstan,Kazakhstan
Kenya,Kenya
Kiribati,Kiribati
Kosovo,Kosovo
Kuwait,Kuwait
Kyrgyzstan,Kyrgyzstan
Laos,Laos
Latvia,Latvia
Lebanon,Lebanon
Lesotho,Lesotho
Liberia,Liberia
Libya,Libya
Liechtenstein,Liechtenstein
Lithuania,Lithuania
Luxembourg,Luxembourg
Macau,Macau
North Macedonia,Macedonia
Madagascar,Madagascar
Malawi,Malawi
Malaysia,Malaysia
Maldives,Maldives
Mali,Mali
Malta,Malta
Marshall Islands,MarshallIslands
Martinique,Martinique
Mauritania,Mauritania
Mauritius,Mauritius
Mayotte,Mayotte
Mexico,Mexico
Micronesia,Micronesia
Moldova,Moldova
Monaco,Monaco
Mongolia,Mongolia
Montenegro,Montenegro
Montserrat,Montserrat
Morocco,Morocco
Mozambique,Mozambique
Myanmar,Myanmar
Namibia,Namibia
Nauru,Nauru
Nepal,Nepal
Netherlands,Netherlands
New Caledonia,NewCaledonia
New Zealand,NewZealand
Nicaragua,Nicaragua
Niger,Niger
Nigeria,Nigeria
Niue,Niue
Norfolk Island,NorfolkIsland
Northern Mariana Islands,NorthernMarianaIslands
North Korea,NorthKorea
Norway,Norway
Oman,Oman
Pakistan,Pakistan
Palau,Palau
Panama,Panama
Papua New Guinea,PapuaNewGuinea
Paraguay,Paraguay
Peru,Peru
Philippines,Philippines
Pitcairn Islands,PitcairnIslands
Poland,Poland
Portugal,Portugal
Puerto Rico,PuertoRico
Qatar,Qatar
Republic of the Congo,RepublicCongo
Réunion,Reunion
